Timestamp (s),Timestamp (ns),Jitter (ns)
1550,366899033,61594
1550,366960535,61502
1550,367021981,61446
1550,367083446,61465
1550,367144948,61502
1550,367206505,61557
1550,367268137,61632
1550,367329657,61520
1550,367391659,62002
1550,367453531,61872
1550,367515033,61502
1550,367576498,61465
1550,367638148,61650
1550,367699649,61501
1550,367761170,61521
1550,367822690,61520
1550,367884266,61576
1550,367945768,61502
1550,368030918,85150
1550,368092939,62021
1550,368154904,61965
1550,368216535,61631
1550,368278185,61650
1550,368339761,61576
1550,368401522,61761
1550,368463116,61594
1550,368524711,61595
1550,368586287,61576
1550,368648103,61816
1550,368709642,61539
1550,368771311,61669
1550,368832905,61594
1550,368894462,61557
1550,368956020,61558
1550,369017651,61631
1550,369079301,61650
1550,369141099,61798
1550,369202694,61595
1550,369264270,61576
1550,369325883,61613
1550,369387440,61557
1550,369448979,61539
1550,369510684,61705
1550,369572297,61613
1550,369633855,61558
1550,369695449,61594
1550,369757099,61650
1550,369818786,61687
1550,369880621,61835
1550,369942308,61687
1550,370003995,61687
1550,370065775,61780
1550,370127740,61965
1550,370189853,62113
1550,370251836,61983
1550,370313449,61613
1550,370375080,61631
1550,370436730,61650
1550,370498714,61984
1550,370560364,61650
1550,370622143,61779
1550,370683923,61780
1550,370745499,61576
1550,370807093,61594
1550,370868724,61631
1550,370930319,61595
1550,370992228,61909
1550,371053804,61576
1550,371115676,61872
1550,371177419,61743
1550,371239106,61687
1550,371300737,61631
1550,371362535,61798
1550,371424148,61613
1550,371485724,61576
1550,371547356,61632
1550,371609228,61872
1550,371670896,61668
1550,371732694,61798
1550,371794326,61632
1550,371856106,61780
1550,371917867,61761
1550,371979480,61613
1550,372053130,73650
1550,372115835,62705
1550,372177726,61891
1550,372238395,60669
1550,372298785,60390
1550,372359194,60409
1550,372419567,60373
1550,372481457,61890
1550,372547422,65965
1550,372608961,61539
1550,372669426,60465
1550,372730817,61391
1550,372792244,61427
1550,372853839,61595
1550,372915766,61927
1550,372977435,61669
1550,373039103,61668
1550,373100809,61706
1550,373162459,61650
1550,373224331,61872
1550,373286148,61817
1550,373347909,61761
1550,373409633,61724
1550,373471338,61705
1550,373532970,61632
1550,373594731,61761
1550,373656437,61706
1550,373718235,61798
1550,373779866,61631
1550,373841535,61669
1550,373903185,61650
1550,373965001,61816
1550,374026762,61761
1550,374088634,61872
1550,374150377,61743
1550,374212027,61650
1550,374273770,61743
1550,374336512,62742
1550,374399218,62706
1550,374461275,62057
1550,374522425,61150
1550,374583371,60946
1550,374644725,61354
1550,374707190,62465
1550,374769321,62131
1550,374831416,62095
1550,374893843,62427
1550,374955623,61780
1550,375017625,62002
1550,375080164,62539
1550,375141943,61779
1550,375203982,62039
1550,375265892,61910
1550,375327486,61594
1550,375389266,61780
1550,375451008,61742
1550,375512677,61669
1550,375574327,61650
1550,375636069,61742
1550,375697756,61687
1550,375759406,61650
1550,375821204,61798
1550,375883039,61835
1550,375944708,61669
1550,376027118,82410
1550,376089286,62168
1550,376151066,61780
1550,376212938,61872
1550,376274588,61650
1550,376336201,61613
1550,376400721,64520
1550,376465112,64391
1550,376528373,63261
1550,376591060,62687
1550,377347360,756300
1550,377411510,64150
1550,377475142,63632
1550,377538329,63187
1550,377600646,62317
1550,377664018,63372
1550,377727020,63002
1550,377790522,63502
1550,377853338,62816
1550,377916192,62854
1550,377979287,63095
1550,378042103,62816
1550,378104846,62743
1550,378166236,61390
1550,378228424,62188
1550,378291536,63112
1550,378354168,62632
1550,378417188,63020
1550,378480024,62836
1550,378542544,62520
1550,378605268,62724
1550,378666492,61224
1550,378727031,60539
1550,378787570,60539
1550,378848127,60557
1550,378908610,60483
1550,378971964,63354
1550,379035558,63594
1550,379098227,62669
1550,379161321,63094
1550,379223786,62465
1550,379286659,62873
1550,379333327,46668
1550,379396014,62687
1550,379443071,47057
1550,379506146,63075
1550,379556648,50502
1550,379619187,62539
1550,379681855,62668
1550,379742616,60761
1550,379802970,60354
1550,379867694,64724
1550,379922381,54687
1550,379986068,63687
1550,380072811,86743
1550,380135776,62965
1550,380198537,62761
1550,380261243,62706
1550,380324245,63002
1550,380386191,61946
1550,380448119,61928
1550,380509287,61168
1550,380572548,63261
1550,380635902,63354
1550,380697756,61854
1550,380759572,61816
1550,380821815,62243
1550,380883650,61835
1550,380945448,61798
1550,381007358,61910
1550,381069507,62149
1550,381131880,62373
1550,381193585,61705
1550,381255902,62317
1550,381319811,63909
1550,381382906,63095
1550,381444482,61576
1550,381506891,62409
1550,381569467,62576
1550,381631950,62483
1550,381693804,61854
1550,381755843,62039
1550,381817881,62038
1550,381879735,61854
1550,381941385,61650
1550,382003017,61632
1550,382065055,62038
1550,382126909,61854
1550,382188559,61650
1550,382250191,61632
1550,382311933,61742
1550,382373990,62057
1550,382439881,65891
1550,382503568,63687
1550,382563922,60354
1550,382624313,60391
1550,382684685,60372
1550,382746113,61428
1550,382808392,62279
1550,382870598,62206
1550,382932285,61687
1550,382993953,61668
1550,383055751,61798
1550,383117661,61910
1550,383179329,61668
1550,383241146,61817
1550,383302685,61539
1550,383364242,61557
1550,383426114,61872
1550,383487801,61687
1550,383551748,63947
1550,383616879,65131
1550,383680066,63187
1550,383743642,63576
1550,383805255,61613
1550,383867905,62650
1550,383930814,62909
1550,383993612,62798
1550,384080245,86633
1550,384142987,62742
1550,384205989,63002
1550,384268565,62576
1550,384331067,62502
1550,384393624,62557
1550,384457034,63410
1550,384520147,63113
1550,384582797,62650
1550,384645409,62612
1550,384708634,63225
1550,384771321,62687
1550,384834415,63094
1550,384897195,62780
1550,384960234,63039
1550,385022884,62650
1550,385085423,62539
1550,385148202,62779
1550,385211000,62798
1550,385273521,62521
1550,385336060,62539
1550,385398802,62742
1550,385461526,62724
1550,385524269,62743
1550,385586660,62391
1550,385648698,62038
1550,385710737,62039
1550,385772443,61706
1550,385834204,61761
1550,385896113,61909
1550,385957911,61798
1550,386019598,61687
1550,386081322,61724
1550,386143195,61873
1550,386204919,61724
1550,386266846,61927
1550,386328644,61798
1550,386390331,61687
1550,386451926,61595
1550,386513594,61668
1550,386575281,61687
1550,386638042,62761
1550,386700878,62836
1550,386762954,62076
1550,386824733,61779
1550,386886439,61706
1550,386948311,61872
1550,387010146,61835
1550,387071852,61706
1550,387133576,61724
1550,387195189,61613
1550,387256876,61687
1550,387318970,62094
1550,387380694,61724
1550,387442363,61669
1550,387505068,62705
1550,387568737,63669
1550,387633276,64539
1550,387696166,62890
1550,387758798,62632
1550,387822133,63335
1550,387885320,63187
1550,387948118,62798
1550,388038213,90095
1550,388101512,63299
1550,388164291,62779
1550,388226904,62613
1550,388289369,62465
1550,388351964,62595
1550,388414614,62650
1550,388477078,62464
1550,388539839,62761
1550,388602508,62669
1550,388665010,62502
1550,388729327,64317
1550,388792791,63464
1550,388855293,62502
1550,388918073,62780
1550,388980741,62668
1550,389043299,62558
1550,389106727,63428
1550,389169432,62705
1550,389231786,62354
1550,389294380,62594
1550,389356845,62465
1550,389419273,62428
1550,389481645,62372
1550,389544388,62743
1550,389607278,62890
1550,389654891,47613
1550,389717930,63039
1550,389780913,62983
1550,389843526,62613
1550,389906028,62502
1550,389968548,62520
1550,390031161,62613
1550,390093904,62743
1550,390156295,62391
1550,390219019,62724
1550,390280928,61909
1550,390342819,61891
1550,390405024,62205
1550,390467119,62095
1550,390528232,61113
1550,390590085,61853
1550,390651735,61650
1550,390713311,61576
1550,390774998,61687
1550,390836630,61632
1550,390898261,61631
1550,390959911,61650
1550,391021561,61650
