Iteration,ExecutionTime(ms),ActualPeriod(ms),Jitter(ms)
531,0.985973,1.00043,0.000435
532,0.987454,1.00201,0.00201
533,0.979306,0.994362,-0.005638
534,0.984325,0.999214,-0.000786
535,0.98501,0.99938,-0.00062
536,0.470885,1.71506,0.715059
537,0.273331,0.298053,-0.701947
538,0.976158,0.991695,-0.008305
539,0.984306,0.99951,-0.00049
540,0.987195,1.00199,0.001991
541,0.983381,0.998807,-0.001193
542,0.984195,0.998898,-0.001102
543,0.984825,0.99964,-0.00036
544,0.985547,0.999991,-9e-06
545,0.980085,0.998344,-0.001656
546,0.987214,1.00256,0.002565
547,0.98451,0.999232,-0.000768
548,0.997418,1.01229,0.012288
549,0.972159,1.00377,0.003769
550,0.99551,1.01332,0.013324
551,0.941158,0.970714,-0.029286
552,0.969547,0.988954,-0.011046
553,0.992935,1.00908,0.009084
554,0.984417,0.998936,-0.001064
555,0.984529,0.999529,-0.000471
556,0.991269,1.00643,0.006435
557,0.984639,1.00073,0.000732
558,0.983436,0.998566,-0.001434
559,0.981788,0.996917,-0.003083
560,0.989287,1.00377,0.003769
561,0.978899,0.993621,-0.006379
562,0.98501,0.999529,-0.000471
563,0.98564,1.00031,0.000306
564,0.994732,1.00927,0.009269
565,0.98101,0.997047,-0.002953
566,0.983473,0.998362,-0.001638
567,0.984269,0.999398,-0.000602
568,0.987991,1.00266,0.002658
569,0.982862,0.997584,-0.002416
570,0.984306,0.999214,-0.000786
571,0.985621,1.00036,0.000362
572,0.986344,1.00108,0.001084
573,1.00081,1.01568,0.015676
574,0.96964,0.991399,-0.008601
575,0.978862,0.994584,-0.005416
576,0.987621,1.00253,0.002528
577,0.975306,0.989973,-0.010027
578,0.986788,1.00133,0.001325
579,0.985103,0.999899,-0.000101
580,0.991658,1.00632,0.006324
581,0.959474,0.999103,-0.000897
582,0.982565,0.997898,-0.002102
583,0.985158,1.00001,1e-05
584,0.985288,1.00138,0.001381
585,0.98301,0.998454,-0.001546
586,0.984603,0.999436,-0.000564
587,1.19329,1.20786,0.20786
588,0.786493,0.817918,-0.182082
589,0.961177,0.977566,-0.022434
590,0.982084,0.997362,-0.002638
591,0.984862,0.999528,-0.000472
